"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"205","","85","Basoko","BKO","00/","3","","modern","x","","vessel","","3","","","rote Bemalung wie Nkomba","Aruwimi","",""
"206","","86","Ikenge","IKE","","T1/1","","modern","x","","clay sample","","","","","fired briquette","Ruki","",""
"207","","87","Ikenge","IKE","","T2/1","","modern","x","","clay sample","","","","","fired briquette","Ruki","",""
"208","","88","Ikenge","IKE","","T3/1","","modern","x","","clay sample","","","","","fired briquette","Ruki","",""
"209","","89","Ikenge","IKE","","T4/1","6653","modern","x","","clay sample","","","","","fired briquette","Ruki","",""
"210","","90","Isaka-Elinga","ISK","","T5/1","6639","modern","x","","clay sample","","","","","fired briquette","Salonga","",""
"211","","91","Ekoli-Bokungu","EKB","","T6/1","6635","modern","x","","clay sample","","","","","fired briquette","Tshuapa","",""
"212","","92","Bolondo","BLD","","T7/1","6637","modern","x","","clay sample","","","","","fired briquette","Tshuapa","",""
"213","","93","Balinga-Wema","BWM","","T8/1","6643","modern","x","","clay sample","","","","","fired briquette","Tshuapa","",""
"214","","94","Balinga-Bokonda","BBK","","T9/1","6645","modern","x","","clay sample","","","","","fired briquette","Tshuapa","",""
"215","","95","Basoko","BKO","","T10/1","","modern","x","","clay sample","","","","","fired briquette","Aruwimi","",""
"169","","96","Wafanya","WAF","83/16","-5:33","","Bekongo","","","W","","","","","","Luilaka","","Wotzka 1995: 503 Pl. 69.5"
"223","5022","97","Pikunda","PIK","87/2","-6:52","","modern","","","R","","","","","cf. modern PIK potter","Sangha","","Seidensticker 2021: 430 Pl. 49.5"
"222","813","98","Pikunda","PIK","87/2","-4:73","","Pikunda-Munda","","","W","","","","","","Sangha","","Seidensticker 2021: 429 Pl. 48.25"
"220","2699","99","Pikunda","PIK","87/2","-1:40","","Ebambe","","","W","","","","","","Sangha","","Seidensticker 2021: 430 Pl. 49.10"
"225","406","100","Munda","MUN","87/2-1-3","-4:4","1","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","",""
"114","353","101","Munda","MUN","87/2-1-3","7","2","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","ID 101: MUN 87/2-1-3 7"
"229","390","102","Munda","MUN","87/2-1-3","3","11","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","",""
"224","382","103","Munda","MUN","87/2-1-3","-1:2","15","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","",""
"113","345","104","Munda","MUN","87/2-1-1","-5:2","2","Pikunda-Munda","","x","vessel","","1","","","","Likwala-aux-Herbes","",""
"239","346","105","Munda","MUN","87/2-1-1","-7:2","6","Pikunda-Munda","","","B","","1","","","","Likwala-aux-Herbes","",""
"236","347","106","Munda","MUN","87/2-1-1","-8:1","4","Pikunda-Munda","","x","vessel","","1","","","","Likwala-aux-Herbes","",""
